name,iso639-3,family-tree
Ghayavi,bmk,"Austronesian,Malayo-Polynesian,Oceanic,Western,Papuan Tip,Kilivila –,Nuclear Papuan Tip,Are–Taupota,Are,Ghayavi"
Somba-Siawari,bmu,"Trans–New Guinea,Finisterre–Huon,Huon,Western Huon,Burum"
Bora,boa,"Bora–Witoto?,Boran,Bora"
Anjam,boj,"Trans–New Guinea,?,Madang,Mindjim,Anjam"
Eastern Tawbuid,bnj,"Austronesian,Malayo-Polynesian,Philippine,Greater Central Philippine,South Mangyan,Tawbuid"
Bola,bnp,"Austronesian,Malayo-Polynesian,Oceanic,Western Oceanic,Meso-Melanesian,Willaumez,Bola"
Bine,bon,"Trans-Fly,Eastern Trans-Fly,Bine"
Tibetan,bod,"Sino-Tibetan,Tibeto-Kanauri,?,Bodish,Tibetic,Central Tibetan,Lhasa Tibetan"
Berom,bom,"Niger–Congo,?,Atlantic–Congo,Volta-Congo,Benue-Congo,Plateau,Beromic,Berom"
Buamu,box,"Niger–Congo,?,Atlantic–Congo,Gur,Northern Gur,Bwa,Bwa"
Boko (Benin),bqc,"Niger–Congo,Mande,Eastern,Bisa–Busa,Samo–Busa,Busa languages,Busa–Boko,Boko"
Bandial,bqj,"Niger–Congo,?,Atlantic–Congo,Bak,Jola,Bandial"
Koronadal Blaan,bpr,"Austronesian,Malayo-Polynesian,Philippine,South Mindanao,Blaan"
Sarangani Blaan,bps,"Austronesian,Malayo-Polynesian,Philippine,South Mindanao,Blaan"
Busa,bqp,"Niger–Congo,?,Mande,Eastern,Bisa–Busa,Bissa"
Eastern Bru,bru,"Austroasiatic,Katuic,West,Brou–So,Bru"
Breton,bre,"Indo-European,Celtic,Insular Celtic,Brittonic,Southwestern,Breton"
Bassari,bsc,"Niger–Congo,?,Atlantic–Congo,Atlantic,Senegambian,Tenda,Basari–Bedik,Basari"
Baga Sitemu,bsp,"Niger–Congo,?,Atlantic–Congo,Mel,Temne,Baga languages,Baga"
Barasana-Eduria,bsn,"Tucanoan,Eastern Tucanoan,South,Barasana–Macuna,Barasano"
Akoose,bss,"Niger–Congo,?,Atlantic–Congo,Volta-Congo,Benue–Congo,Bantoid,Southern Bantoid,Bantu,(,Zone A.15,),Manenguba"
Batak Dairi,btd,"Austronesian,Malayo-Polynesian,Northwest Sumatra–Barrier Islands,Batak,Northern,Pakpak"
Rinconada Bikol,bto,"Austronesian,Malayo-Polynesian,Philippine,Central Philippine,Bikol languages,Inland Bikol,Rinconada Bikol"
Biatah Bidayuh,bth,"Austronesian,Malayo-Polynesian,(MP),Land Dayak,Bidayuh,Biatah–Tringgus,Biatah"
